Fish ID,Lifetime,Average Neighbors,Neighbors
51,20000,9.5947,8
52,20000,9.41145,8
75,20000,9.50775,4
88,20000,10.90055,5
98,20000,10.40785,10
106,19648,9.265065146579804,8
119,18756,10.391181488590318,12
121,18649,10.582765831948095,7
125,18444,10.163142485361092,8
133,17960,8.775779510022272,7
136,17609,9.487705150775172,7
144,17148,10.324760905061815,5
161,16050,9.69626168224299,3
166,15863,9.379751623274286,11
170,15701,9.265333418253615,2
180,15191,9.143374366401158,13
188,14760,10.555013550135502,2
194,14413,10.049746756400472,12
195,14370,10.42839248434238,11
207,13725,10.762914389799636,3
216,13086,10.669799786030874,6
223,12653,10.45570220501067,14
226,12508,10.023265110329389,7
228,12389,9.503026878682702,13
239,11779,9.849308090669837,8
244,11410,9.586415425065733,23
245,11358,10.558989258672302,5
248,11136,9.075341235632184,8
250,11029,10.958382446277994,11
259,10246,10.391469841889517,5
262,9970,9.392878635907723,13
263,9853,9.834162184106363,18
264,9844,9.419849654611946,8
266,9741,9.78934400985525,20
282,8735,8.745048654836863,9
288,8065,8.081959082455052,9
289,7930,6.8547288776796975,14
292,7761,8.35652622084783,6
293,7693,9.305992460678539,9
294,7645,8.699542184434272,5
297,7438,8.2040871201936,18
302,7168,8.458147321428571,23
308,6776,8.945543093270366,10
310,6670,7.939580209895053,4
312,6535,7.834276970160674,8
313,6453,10.348210134821013,19
314,6423,9.492449011365405,21
315,6392,8.955725907384231,11
317,6278,8.806467027715833,15
318,6269,9.746530547136704,15
319,6152,10.491872561768531,8
323,5901,9.576173529910184,15
326,5770,7.579029462738301,12
328,5637,8.474188398084086,2
334,5236,9.906990068754775,9
335,5198,10.122162370142362,17
336,5141,10.780198404979576,17
339,4989,10.28703146923231,11
340,4926,7.958993097848152,11
341,4887,9.069367710251688,17
347,4408,6.909255898366606,10
348,4367,7.358369590107626,3
350,4139,8.58758154143513,7
351,4111,7.473850644612017,9
354,3884,8.943872296601441,12
356,3831,7.4925606891151135,8
360,3517,8.385840204719932,15
363,3397,8.154842508095378,3
364,3284,6.9074299634591965,13
365,3173,6.726441853135833,8
368,2800,8.824642857142857,9
369,2694,5.639569413511507,1
370,2625,6.591238095238095,22
371,2338,7.122326775021386,11
372,2251,4.910706352732119,18
374,2173,8.72204325816843,10
375,2122,1.0942507068803016,1
376,2045,9.613691931540343,7
377,1933,4.9342990170719085,11
378,1897,6.794412229836584,11
379,1818,4.403740374037404,4
380,1783,5.890633763320246,11
381,1745,6.449283667621777,12
384,1525,6.661639344262295,13
385,1498,7.663551401869159,6
386,1389,5.4233261339092875,5
387,1380,5.546376811594203,3
388,1278,0.607981220657277,2
389,1276,3.609717868338558,12
391,1137,5.277044854881266,14
392,1086,6.7845303867403315,19
393,1028,8.438715953307392,17
394,1005,7.302487562189055,10
395,948,8.655063291139241,17
396,933,5.981779206859593,11
398,809,9.325092707045735,4
404,482,9.016597510373444,16
405,398,0.07788944723618091,0
408,221,5.841628959276018,8
410,77,0.38961038961038963,0
83,12,0.0,0
60,68,0.0,0
39,137,0.3795620437956204,0
29,179,0.2122905027932961,0
24,222,5.423423423423423,2
72,302,0.38741721854304634,1
22,352,3.883522727272727,1
64,441,0.8594104308390023,0
79,442,5.099547511312217,0
107,90,0.0,0
109,115,0.0,0
108,216,0.0,0
110,130,0.0,0
94,921,2.449511400651466,0
30,928,6.102370689655173,0
41,1038,5.391136801541426,0
61,1078,6.459183673469388,0
66,1137,4.231310466138962,0
114,226,0.0,0
62,1244,5.576366559485531,1
6,1250,5.6784,1
102,1214,7.523064250411862,0
70,1409,4.559971611071682,0
13,1468,3.059264305177112,0
33,1547,8.550096961861668,0
34,1556,7.254498714652956,0
38,1640,6.771951219512195,0
27,1707,5.209724663151728,0
80,1766,7.090033975084938,3
47,1821,7.2097748489840745,0
23,1863,7.022007514761138,1
130,36,0.0,0
45,2003,6.803794308537194,0
18,2040,7.723039215686274,0
132,171,0.0,0
134,83,0.0,0
67,2391,7.341698034295274,0
14,2407,6.552555047777316,0
4,2515,5.842942345924453,0
135,294,0.0,0
138,64,0.0,0
89,2702,7.537379718726869,0
137,310,0.0,0
139,259,0.0,0
131,953,7.143756558237146,0
32,2944,8.188858695652174,0
55,3020,8.614900662251655,0
116,1994,6.1785356068204615,0
112,2404,6.844425956738768,0
68,3196,8.154568210262829,0
17,3293,4.999088976617067,0
7,3307,7.4218324765648624,0
150,124,0.056451612903225805,0
35,3419,8.963439602222872,0
153,102,0.00980392156862745,0
128,1773,5.593344613649182,0
152,194,0.03608247422680412,0
46,3713,9.99299757608403,0
155,191,0.0,0
19,3820,7.003141361256544,0
157,133,0.007518796992481203,0
158,220,0.3409090909090909,0
40,3967,10.234938240483993,0
104,3789,8.35682238057535,1
93,4063,10.527688899827714,1
87,4079,11.133120862956607,3
12,4137,11.407783417935702,1
84,4150,11.553253012048193,1
92,4208,9.845532319391635,0
81,4249,9.836432101670981,3
142,1582,7.961441213653603,0
99,4335,10.201384083044983,0
111,3781,8.53345675747157,0
96,4463,7.262379565314811,0
91,4551,7.802460997582949,0
171,248,0.0,0
173,179,2.64804469273743,0
42,4659,5.388066108606997,0
177,65,0.0,0
86,4795,9.212930135557873,1
3,4809,6.768143065086297,1
20,4866,9.402383888203863,1
149,1697,1.8509133765468473,0
156,1353,2.4619364375461936,0
76,5019,7.889818688981869,0
31,5086,10.103617774282343,0
69,5111,7.887106241440032,2
37,5214,8.517069428461834,0
78,5240,7.170038167938931,1
