Fish ID,Lifetime,Average Neighbors,Neighbors
1288,8253,20.942445171452803,3
1329,7608,30.870662460567825,16
1339,7517,31.48915790874019,15
1372,5486,24.023149835946043,0
1392,5037,24.400833829660513,6
1397,4936,23.592585089141004,19
1412,4789,14.938400501148465,1
1448,4403,21.400635930047695,18
1460,4233,27.071580439404677,13
1485,3900,17.131282051282053,11
1489,3811,18.21411702965101,18
1496,3669,24.43499591169256,17
1504,3572,17.593784994400895,8
1517,3289,18.272119185162662,7
1521,3199,22.472647702407002,18
1527,3091,20.018440634098997,19
1532,2915,22.95368782161235,18
1533,2904,13.28099173553719,18
1541,2655,17.75216572504708,3
1542,2630,22.734600760456274,17
1547,2576,26.233695652173914,7
1548,2564,22.64625585023401,8
1554,2485,16.482494969818912,6
1557,2465,24.092494929006087,16
1568,2361,11.243540872511648,14
1569,2326,17.15176268271711,18
1571,2298,22.890339425587467,3
1576,2237,29.242288779615556,19
1579,2181,20.84319119669876,16
1583,2135,18.408899297423886,4
1584,2125,22.599529411764706,1
1592,2031,11.11915312653865,17
1598,1954,22.19293756397134,18
1600,1918,19.131386861313867,16
1606,1787,25.91046446558478,16
1608,1784,24.9859865470852,16
1612,1681,26.82093991671624,6
1613,1633,22.133496631965706,17
1619,1590,26.20062893081761,5
1620,1589,25.407174323473882,18
1622,1582,19.640328697850823,17
1623,1563,28.600767754318618,19
1624,1558,20.162387676508345,2
1626,1525,14.122622950819672,19
1628,1459,23.692940370116517,7
1630,1405,21.570818505338078,18
1631,1388,23.912824207492797,17
1632,1382,20.593342981186687,16
1634,1322,29.609682299546144,6
1635,1228,16.158794788273617,18
1636,1227,11.423797881010595,17
1637,1204,21.516611295681063,17
1639,1154,8.089254766031196,0
1640,1144,23.992132867132867,18
1644,953,30.13221406086044,6
1645,923,19.986998916576383,18
1647,875,35.502857142857145,19
1649,829,16.182147165259348,8
1650,808,16.919554455445546,6
1652,726,15.516528925619834,18
1658,662,8.444108761329305,17
1659,650,21.209230769230768,18
1660,642,2.707165109034268,13
1661,636,20.03616352201258,16
1665,577,10.755632582322358,15
1666,550,13.014545454545454,18
1667,533,21.440900562851784,19
1668,485,11.628865979381443,19
1672,461,7.967462039045553,18
1676,375,3.8986666666666667,15
1677,373,15.123324396782841,2
1678,372,14.435483870967742,20
1679,371,5.369272237196766,13
1681,363,4.1680440771349865,14
1682,340,3.6323529411764706,6
1683,334,13.104790419161677,19
1684,333,0.7777777777777778,7
1686,317,17.917981072555204,6
1687,295,3.1932203389830507,12
1689,252,16.91269841269841,18
1690,248,5.060483870967742,12
1691,204,1.1323529411764706,7
1692,190,3.9473684210526314,16
1693,189,5.185185185185185,17
1694,157,5.1210191082802545,11
1696,155,0.0,0
1697,154,5.545454545454546,12
1698,153,5.993464052287582,15
1699,126,1.9682539682539681,5
1700,123,0.7886178861788617,8
1701,109,0.0,0
1702,94,1.3829787234042554,5
1703,84,0.10714285714285714,1
1704,77,0.12987012987012986,1
1705,71,0.0,0
1706,55,0.0,0
1707,50,9.68,10
1708,39,0.05128205128205128,0
1709,33,2.6363636363636362,6
1710,2,3.0,3
55,3,0.0,0
44,9,0.0,0
74,9,0.2222222222222222,0
65,10,1.0,1
59,22,0.9090909090909091,1
100,23,2.0,2
10,44,0.11363636363636363,0
87,45,0.6888888888888889,0
85,54,2.5185185185185186,4
46,73,2.452054794520548,1
28,91,3.901098901098901,6
83,92,0.0,0
91,94,1.074468085106383,0
41,102,4.637254901960785,9
9,102,0.5980392156862745,0
56,107,2.3457943925233646,0
101,116,2.6293103448275863,1
73,134,2.037313432835821,0
40,134,1.9253731343283582,0
4,134,5.17910447761194,0
21,139,7.460431654676259,1
23,141,2.326241134751773,1
17,160,1.3125,5
58,160,1.7625,4
27,184,3.9293478260869565,1
18,191,1.5026178010471205,0
109,127,0.7874015748031497,4
1,206,5.427184466019417,0
124,28,0.0,0
26,213,3.948356807511737,0
88,244,1.3032786885245902,0
125,61,0.0,0
118,133,0.0,0
127,82,3.4878048780487805,1
11,310,3.793548387096774,3
103,313,8.817891373801917,10
37,353,8.832861189801699,2
20,353,13.668555240793202,5
111,275,3.5927272727272728,1
71,369,20.338753387533874,9
129,190,5.568421052631579,3
78,405,17.18024691358025,0
39,415,2.3325301204819278,0
115,317,2.946372239747634,0
84,429,0.4568764568764569,0
141,103,0.36893203883495146,0
126,310,3.632258064516129,0
90,511,8.08023483365949,7
36,525,5.144761904761904,6
147,29,0.0,0
34,552,13.751811594202898,7
6,558,9.969534050179211,18
150,43,0.4883720930232558,0
82,627,5.044657097288677,0
38,653,11.422664624808576,6
16,653,7.632465543644717,6
152,61,0.0,0
113,559,17.88014311270125,23
67,663,6.220211161387632,0
13,674,5.632047477744807,16
128,466,6.890557939914163,22
35,682,7.052785923753666,4
60,688,12.568313953488373,5
5,694,17.42507204610951,1
154,52,0.0,0
137,352,7.872159090909091,3
31,711,9.047819971870604,0
76,717,6.900976290097629,4
149,178,0.12359550561797752,0
159,55,3.3454545454545452,0
47,743,5.301480484522207,5
112,682,14.215542521994134,0
51,796,13.325376884422111,0
166,90,0.4888888888888889,1
167,85,0.24705882352941178,0
148,286,0.0,0
157,156,5.128205128205129,1
153,198,3.8181818181818183,0
174,24,0.0,0
89,844,7.203791469194313,2
172,49,0.0,0
123,689,3.776487663280116,1
156,201,5.1940298507462686,0
49,865,7.2878612716763005,4
176,107,0.0,0
42,926,7.5345572354211665,0
158,315,15.101587301587301,22
175,168,0.0,0
182,151,0.0,0
120,889,9.321709786276715,1
32,1047,5.1203438395415475,0
77,1130,6.139823008849557,0
160,454,11.508810572687224,0
191,3,0.0,0
22,1206,11.728026533996683,0
140,810,15.750617283950618,0
193,93,0.0,0
43,1256,11.748407643312103,0
14,1291,10.524399690162664,4
63,1292,4.527089783281734,0
3,1334,15.942278860569715,0
66,1357,14.299926308032424,2
15,1358,13.477908689248896,1
92,1359,19.863870493009564,2
195,154,0.0,0
204,18,0.0,0
96,1393,14.801148600143575,0
202,76,0.0,0
155,796,12.925879396984925,0
177,637,18.255886970172686,3
200,135,0.0,0
171,693,17.78932178932179,0
165,791,12.815423514538558,0
145,1034,11.727272727272727,0
197,308,0.0,0
163,900,12.096666666666666,2
214,39,0.0,0
178,791,2.9873577749683946,4
146,1122,11.836898395721924,0
86,1785,21.424649859943976,18
216,214,0.0,0
219,76,0.0,0
2,1876,23.142857142857142,53
75,1913,10.373235755358076,0
106,1988,21.90543259557344,3
64,2033,9.889818002951303,0
79,2034,29.64060963618486,2
226,25,0.0,0
227,72,0.0,0
184,1242,38.41545893719807,14
93,2176,29.62454044117647,3
7,2187,14.96342021033379,1
61,2198,26.63739763421292,1
68,2214,24.92773261065944,9
215,621,38.85024154589372,9
234,15,0.0,0
24,2232,24.05600358422939,0
199,988,31.704453441295545,1
133,1999,12.04552276138069,0
161,1671,27.146618791143027,0
50,2364,30.524957698815566,4
105,2384,24.464345637583893,8
211,969,11.759545923632611,0
104,2426,27.550288540807916,4
81,2453,23.29107215654301,26
242,93,0.0,0
45,2540,22.54015748031496,0
244,132,5.856060606060606,6
151,2033,26.673880964092476,1
139,2239,12.121482804823582,4
205,1237,9.549717057396927,0
138,2263,26.32523199292974,3
107,2647,25.32942954287873,0
224,715,17.647552447552446,1
134,2451,27.2015503875969,0
248,203,0.4729064039408867,0
70,2797,26.26135144797998,0
80,2841,20.26539950721577,0
251,237,0.2320675105485232,0
247,313,13.594249201277956,2
207,1467,22.01976823449216,3
69,2904,28.242768595041323,0
252,216,0.0,0
228,786,11.454198473282442,9
97,2920,16.671575342465754,0
52,2932,14.561391541609822,0
95,2932,22.728171896316507,0
240,569,4.579964850615114,0
241,541,3.0277264325323476,2
255,166,3.8855421686746987,1
256,181,0.016574585635359115,0
265,50,0.9,2
203,1628,23.452088452088454,0
132,2723,14.46749908189497,5
243,544,14.375,3
264,85,0.8823529411764706,1
267,87,0.0,0
276,9,0.0,0
121,2897,25.794269934414913,0
130,2798,23.849892780557543,0
268,93,0.021505376344086023,1
62,3057,22.986261040235526,2
218,1441,12.84385843164469,0
279,37,0.02702702702702703,0
8,3087,23.281179138321995,0
188,2101,27.73155640171347,0
270,134,0.15671641791044777,0
57,3138,24.816124920331422,0
208,1705,28.758944281524926,0
135,2835,14.864197530864198,1
213,1672,21.39952153110048,1
33,3216,18.470771144278608,3
136,2866,27.08653175157013,10
258,368,8.505434782608695,2
144,2809,13.469918120327518,1
236,1008,9.558531746031745,4
194,2045,21.491442542787286,1
237,974,16.134496919917865,0
25,3281,19.96403535507467,0
293,60,0.0,0
0,3296,21.806735436893202,0
164,2594,24.178488820354666,6
19,3301,14.275371099666767,1
300,7,0.0,0
185,2388,24.479899497487438,0
169,2586,15.581206496519721,1
189,2291,20.349628982976867,0
297,80,0.0,0
306,29,0.0,0
298,94,0.0,0
212,1878,20.022896698615547,14
266,448,9.046875,9
269,458,6.3406113537117905,1
307,85,0.0,0
48,3454,13.102779386218877,9
310,107,0.0,0
162,2797,13.132284590632821,0
309,110,0.03636363636363636,0
54,3536,21.439762443438916,4
305,224,8.46875,0
312,205,0.0,0
271,653,13.09188361408882,2
299,391,12.560102301790282,0
168,2970,18.70942760942761,0
284,769,16.72301690507152,12
209,2421,18.759603469640645,0
231,1729,19.13475997686524,0
321,302,1.6225165562913908,1
318,415,1.1542168674698796,0
190,2947,15.460128944689515,0
254,1265,19.53517786561265,0
173,3251,19.7880652107044,13
262,1177,20.69838572642311,3
281,1028,0.3219844357976654,0
98,4091,26.615008555365435,1
322,463,23.15766738660907,11
331,132,0.5909090909090909,1
302,887,23.680947012401354,0
263,1275,15.145882352941177,1
181,3348,17.892473118279568,0
110,4120,18.960436893203884,0
143,3805,25.934559789750327,2
325,350,6.422857142857143,3
338,42,0.3333333333333333,1
142,3833,25.387424993477694,4
339,57,0.2631578947368421,0
170,3517,26.23883992038669,6
108,4235,25.126092089728452,1
259,1425,27.40140350877193,0
280,1293,27.154679040989947,0
319,827,17.072551390568318,0
257,1532,18.162532637075717,0
30,4375,22.92457142857143,0
233,2180,16.471100917431194,0
350,66,0.0,0
342,236,1.0805084745762712,0
274,1523,14.338804990151019,2
340,321,1.1651090342679127,0
320,928,8.997844827586206,24
353,158,9.873417721518987,3
295,1349,20.92216456634544,0
303,1289,17.30721489526765,2
277,1562,28.636363636363637,9
313,1174,11.47870528109029,8
344,345,13.263768115942028,8
316,1137,28.66490765171504,1
327,710,8.65774647887324,0
354,232,0.0,0
290,1485,11.185858585858586,0
355,239,0.0,0
334,617,0.24149108589951376,1
238,2425,16.643298969072166,0
370,14,0.6428571428571429,0
94,4731,28.04016064257028,0
360,154,0.6298701298701299,0
368,70,0.0,0
369,92,0.0,0
341,581,23.581755593803788,0
12,4830,22.60165631469979,54
371,119,1.5714285714285714,24
287,1701,19.56437389770723,9
374,99,0.29292929292929293,1
210,3399,22.271550456016474,0
336,699,8.36480686695279,0
381,43,0.0,0
378,56,0.0,0
278,1848,28.29599567099567,3
196,3663,22.77914277914278,0
366,276,4.463768115942029,1
272,1951,31.54126089185033,0
377,128,0.203125,0
386,67,0.0,0
332,902,17.954545454545453,0
390,53,0.0,0
387,105,0.0,0
261,2098,18.598665395614873,0
384,120,2.2916666666666665,0
388,104,4.144230769230769,8
