Fish ID,Lifetime,Average Neighbors,Neighbors
5,15000,62.392466666666664,76
8,15000,63.19433333333333,60
16,15000,61.7302,67
19,15000,60.226933333333335,77
26,15000,65.6676,73
37,15000,61.89906666666667,16
42,15000,67.70626666666666,11
43,15000,63.32886666666667,71
45,15000,56.44846666666667,61
51,15000,71.46726666666666,59
61,15000,66.75493333333333,76
81,15000,61.6334,0
84,15000,65.54373333333334,78
87,15000,68.2248,67
88,15000,66.816,54
99,15000,75.37753333333333,76
103,15000,66.54393333333333,78
110,15000,61.217533333333336,71
114,15000,67.4346,63
121,15000,64.82653333333333,50
125,15000,67.16386666666666,76
128,15000,57.2436,58
130,15000,65.08486666666667,78
131,15000,66.71553333333334,75
137,15000,67.77593333333333,67
146,15000,74.34053333333334,53
147,15000,62.765,61
148,15000,69.47206666666666,52
152,15000,67.84386666666667,61
153,15000,82.877,60
156,15000,63.364133333333335,65
157,15000,71.65913333333333,14
159,15000,69.5168,53
161,15000,60.644,59
163,15000,73.21566666666666,45
165,15000,64.1132,12
166,15000,71.20953333333334,70
167,15000,70.62866666666666,58
172,15000,54.95506666666667,74
175,15000,67.08406666666667,69
187,15000,67.11546666666666,71
188,15000,75.4296,52
193,15000,72.68266666666666,61
195,15000,63.1748,55
203,14928,54.746985530546624,55
205,14716,67.87686871432454,59
207,14709,69.5040451424298,56
213,14519,66.95357807011503,75
223,14284,70.60284234108093,62
227,14094,56.99453668227615,67
236,13723,72.28317423303942,17
238,13677,62.73035022300212,33
245,13538,66.97939134288669,61
248,13282,74.3202830898961,68
251,13224,57.88649425287356,28
252,13180,64.26471927162368,69
256,12977,71.15512059798104,31
257,12951,58.4510848583121,70
260,12847,59.55211333385226,53
273,12251,62.7134111501102,77
274,12249,56.15323699893869,72
275,12207,73.11337757024658,66
276,12199,73.7995737355521,49
277,12182,62.7644065013955,69
284,11977,72.45403690406613,58
287,11903,66.83794001512224,76
292,11748,55.77093973442288,11
295,11677,64.72338785646998,58
296,11598,62.234695637178824,72
301,11281,71.12365925006648,56
303,11228,47.07436765229782,70
305,11058,72.63356845722554,65
309,10907,60.2560740808655,36
316,10720,62.50886194029851,74
318,10661,59.430916424350436,48
319,10595,66.00849457291176,14
320,10471,73.83917486390985,19
324,10311,68.76006206963437,67
326,10265,70.31933755479785,68
327,10259,82.2705916756019,70
328,10225,74.79325183374083,46
329,10218,65.44852221569779,66
335,9959,56.893965257555976,22
338,9884,73.78369081343585,51
339,9848,60.690292445166534,68
341,9805,68.28169301376849,14
346,9574,71.0906622101525,61
347,9531,57.22421571713357,48
355,9114,59.233816107087996,52
357,9014,68.76347903261593,7
359,8947,75.06549681457471,68
361,8891,70.63052525025306,52
363,8816,64.82872050816697,58
365,8775,64.1391452991453,49
366,8774,76.75552769546387,64
369,8578,69.2813010025647,76
370,8486,70.03806269149187,58
377,8222,67.92945755290684,9
378,8221,62.56525970076633,37
379,8147,73.9154289922671,61
381,8096,73.26445158102767,51
383,8020,74.06197007481296,1
384,7997,73.89133425034387,58
386,7903,69.36796153359484,59
388,7839,74.9980864906238,35
389,7831,79.51972928106244,56
391,7790,58.37535301668806,75
392,7653,55.77629687704168,53
394,7568,66.70573467230444,46
396,7492,58.563400961025096,57
399,7382,73.08886480628556,49
400,7344,80.91135620915033,1
401,7259,65.47072599531616,29
402,7176,67.0200668896321,73
406,7021,86.16165788349238,60
408,6970,72.8154949784792,11
411,6851,72.58225076631149,67
415,6607,68.36733767216589,46
418,6223,63.76651132894103,14
421,5942,69.05435880175025,51
422,5871,62.38085505024698,37
424,5835,81.74173093401885,53
425,5751,57.80090419057555,38
427,5592,71.23193848354792,59
428,5552,52.018011527377524,61
430,5499,61.89725404619022,72
