Sensory Delay,TTK
0.5,3.8211692777990067
0.55,3.837298541826554
0.6,3.869969040247678
0.65,3.9138943248532287
0.7,3.987240829346092
0.75,4.056795131845842
0.8,4.140786749482402
0.85,4.235493434985176
0.9,4.291845493562231
1,4.468275245755138
