Fish ID,Lifetime,Average Neighbors,Neighbors
10,20000,14.33435,12
17,20000,14.95645,11
21,20000,13.97245,18
53,20000,14.6521,8
56,20000,14.6845,12
58,20000,13.6312,16
66,20000,14.7697,16
77,20000,13.5836,11
90,20000,13.59145,5
109,19180,12.840302398331595,4
132,17687,14.450500367501554,1
139,17157,14.019991840065279,2
192,13065,13.214619211634137,7
195,12862,13.363240553568652,1
198,12628,13.63961038961039,13
201,12393,13.15371580731058,3
202,12327,13.540439685243774,17
205,12107,13.38275377880565,5
218,11293,13.033560612768971,6
238,9985,12.055182774161242,8
240,9808,12.89855220228385,6
242,9677,12.713857600496022,18
243,9620,14.04043659043659,4
246,9433,12.936393512138238,14
248,9327,13.535541974911547,13
250,9220,12.325054229934924,4
253,8995,12.070261256253474,2
254,8935,13.481141578063793,5
256,8748,14.383744855967079,7
261,8344,14.509587727708533,17
263,8209,13.446217566086004,14
264,8137,13.107902175248864,20
265,8075,13.271702786377709,15
267,7956,11.782805429864254,4
268,7895,12.864977834072198,7
270,7748,14.064790913784202,12
276,7294,13.890732108582396,16
277,7228,12.115384615384615,10
280,7028,13.128343767786,12
281,6975,13.282437275985663,2
283,6833,12.370261963998244,11
284,6770,13.168242245199409,0
286,6649,13.828094450293277,12
287,6597,13.80779142034258,7
291,6331,15.152740483335966,16
292,6262,13.078728840625999,8
295,6078,12.693484698914116,5
296,6027,13.728057076489133,14
299,5790,12.540759930915371,9
300,5693,13.884595116810118,6
301,5622,11.660974742084667,11
302,5513,13.94612733538908,3
306,5203,11.567557178550835,11
309,4995,12.617617617617618,4
310,4900,13.971020408163266,3
311,4831,13.327882425998759,3
312,4732,12.972527472527473,11
314,4613,14.4175157164535,1
315,4551,13.523401450230718,12
318,4304,13.617565055762082,0
322,4022,13.234957732471408,11
323,3972,14.535750251762336,3
326,3776,11.514300847457626,14
327,3727,13.32599946337537,17
328,3665,13.392360163710778,2
329,3600,13.985833333333334,6
331,3469,14.26953012395503,4
334,3265,14.932006125574272,7
336,3132,13.796296296296296,3
337,3083,13.365228673370094,6
340,2905,12.692943201376936,5
341,2847,11.24798033017211,0
342,2784,15.15337643678161,2
343,2721,14.142227122381477,10
344,2600,11.661153846153846,7
345,2551,13.341042728341828,6
346,2481,13.430471584038694,2
348,2349,13.77522349936143,12
349,2292,10.352966841186737,1
353,2049,14.82820888238165,6
354,1971,10.726534753932015,3
355,1913,13.712493465760586,4
356,1849,12.995132504056247,2
357,1745,15.044699140401146,9
358,1647,12.74802671523983,9
360,1523,11.10833880499015,5
361,1460,12.27945205479452,14
364,1284,13.469626168224298,3
366,1164,13.505154639175258,2
367,1097,11.546034639927074,4
368,1030,16.133980582524273,17
369,969,15.212590299277606,11
373,698,12.085959885386819,7
374,618,13.79611650485437,2
375,549,13.491803278688524,2
376,491,13.841140529531568,2
378,364,11.997252747252746,4
380,233,3.467811158798283,14
381,128,1.6171875,4
382,23,0.0,0
13,69,2.420289855072464,0
26,171,10.596491228070175,0
52,281,8.153024911032029,0
101,215,8.018604651162791,0
2,448,10.950892857142858,0
25,543,12.775322283609576,0
105,55,0.0,0
106,57,0.0,0
107,62,0.0,0
108,103,1.3398058252427185,0
34,866,8.801385681293302,3
103,548,3.158759124087591,0
104,578,3.7785467128027683,0
112,56,0.0,0
113,62,0.0,0
63,1221,12.35135135135135,0
95,1331,9.79489105935387,0
116,51,0.0,0
117,59,0.0,0
118,64,0.0,0
119,49,0.0,0
120,49,0.0,0
121,63,0.0,0
49,1720,15.881976744186046,0
122,115,0.0,0
124,58,0.0,0
125,56,0.0,0
31,1958,17.490806945863124,0
127,89,0.0,0
128,100,0.0,0
129,52,0.0,0
130,58,0.0,0
131,56,0.0,0
43,2428,18.12644151565074,0
65,2485,17.135613682092554,1
36,2554,14.511746280344557,0
135,109,0.0,0
136,57,0.0,0
137,70,0.0,0
115,1622,17.759556103575832,3
96,2906,15.289057123193393,0
40,2975,14.605042016806722,1
1,3035,17.194398682042834,7
27,3142,14.745703373647359,0
79,3224,16.294044665012407,0
99,3298,17.97422680412371,6
4,3411,16.793022574025212,0
46,3475,15.642302158273381,0
147,55,0.0,0
83,3592,15.019766146993318,0
37,3659,14.309100847226018,3
110,2856,13.397408963585434,3
41,3786,15.384574749075542,2
152,62,0.0,0
153,61,0.0,0
154,60,0.1,0
9,4034,14.822260783341596,0
24,4094,15.912554958475818,4
72,4215,14.142111506524317,0
11,4344,16.125,0
146,1049,9.044804575786463,0
78,4562,14.741999123191583,0
161,59,0.0,0
14,4737,15.21173738653156,0
22,4859,15.709199423749743,0
89,4920,15.207317073170731,0
81,5011,13.786070644581919,9
166,60,0.0,0
167,65,0.0,0
18,5198,14.202385532897269,0
169,101,0.0,0
170,54,0.0,0
73,5443,14.960316002204667,2
7,5505,13.465395095367848,3
173,60,0.0,0
54,5627,13.526390616669628,8
45,5690,15.207205623901581,1
94,5757,13.53013722424874,4
176,139,3.4244604316546763,1
70,5895,14.514164546225615,1
30,5993,14.488403136993158,0
180,59,0.0,0
75,6102,13.882825303179285,5
64,6165,13.852392538523926,8
35,6231,13.91815117958594,0
5,6325,15.13201581027668,1
69,6420,13.105451713395638,13
62,6512,14.006603194103194,0
38,6577,15.935684962748974,9
149,3060,9.426470588235293,1
