Fish ID,Lifetime,Average Neighbors,Neighbors
169,16433,24.74788535264407,33
184,15633,25.674662572762745,16
210,14210,25.996270232230824,45
238,12687,24.651454244502247,42
249,12090,26.856327543424317,19
257,11667,25.62809634010457,2
267,11106,24.157212317666126,41
284,10175,25.49297297297297,1
291,9816,25.212102689486553,19
294,9633,27.063220180629088,3
295,9572,25.650856665273714,34
309,8895,26.783136593591905,26
312,8734,25.71273185253034,10
313,8684,24.521303546752648,28
316,8527,26.75067432860326,40
324,8093,26.58742122822192,48
328,7864,26.76564089521872,36
336,7443,25.76595458820368,42
338,7340,26.54100817438692,5
339,7294,26.811077598025776,4
343,7071,25.938763965492857,1
349,6725,26.925947955390335,40
350,6669,25.616884090568302,40
352,6557,26.848863809669055,47
353,6507,26.144459812509606,44
356,6370,25.378649921507066,39
358,6277,25.058148797196115,36
359,6226,25.62206874397687,3
360,6164,23.28536664503569,44
369,5659,24.155327796430466,42
370,5617,25.59391134057326,44
372,5506,25.7889575009081,42
373,5458,25.078417002565043,41
376,5310,24.530508474576273,5
377,5245,24.501811248808387,35
378,5207,23.73189936623776,43
379,5143,24.83881003305464,5
380,5084,25.251180173092052,43
381,5035,23.568619662363457,35
385,4793,26.561443772167745,11
386,4741,25.741193840961824,42
389,4562,23.66352476983779,4
392,4394,23.284023668639055,35
395,4254,26.577574047954865,34
397,4139,27.75042280744141,21
398,4091,26.494500122219506,1
402,3868,24.891416752843845,43
403,3816,25.02253668763103,43
404,3754,22.683271177410763,32
405,3696,24.2245670995671,39
408,3529,24.722300935109097,35
409,3493,26.461780704265674,33
410,3430,25.720408163265308,41
412,3330,23.824024024024023,41
413,3290,24.468996960486322,38
414,3243,24.722170829478877,33
416,3137,23.718202103920945,9
417,3081,23.287893541058097,26
418,3044,27.935282522996058,37
419,2995,25.230383973288816,44
421,2893,24.722433460076047,40
423,2783,25.434423284225655,24
424,2733,21.59897548481522,34
425,2675,26.155514018691587,35
426,2625,25.445714285714285,8
427,2571,27.112018669778298,42
428,2526,26.026920031670624,39
429,2471,25.699312019425335,41
430,2426,26.092745259686726,48
431,2365,28.554334038054968,9
432,2326,28.429062768701634,42
436,2097,21.88364329995231,33
437,2044,26.636986301369863,36
438,1983,24.7327281896117,8
439,1926,25.05711318795431,45
443,1699,25.789876397881105,38
444,1641,28.04265691651432,13
445,1581,26.891208096141682,8
446,1540,25.516233766233768,34
447,1494,24.927041499330656,4
448,1434,22.283821478382148,1
450,1317,27.314350797266513,48
451,1265,24.289328063241108,39
452,1226,21.538336052202283,37
453,1161,27.25495262704565,37
454,1118,24.73076923076923,43
455,1064,25.32236842105263,46
458,900,28.255555555555556,39
459,845,23.22130177514793,35
461,739,23.182679296346414,43
462,685,22.045255474452556,3
463,625,22.4416,29
465,517,20.545454545454547,34
466,469,28.995735607675908,49
467,404,22.116336633663366,42
469,294,19.027210884353742,28
470,239,15.02510460251046,44
471,182,25.846153846153847,11
473,75,42.17333333333333,44
474,28,3.25,2
68,1,0.0,0
7,34,0.6764705882352942,0
4,61,1.1147540983606556,0
26,85,2.6941176470588237,12
96,115,6.956521739130435,0
2,157,5.980891719745223,0
27,210,4.152380952380953,0
40,259,2.548262548262548,1
63,312,2.1955128205128207,0
77,367,9.29700272479564,0
108,109,0.1559633027522936,0
38,479,12.267223382045929,0
6,542,6.3966789667896675,1
5,594,16.76936026936027,0
41,652,19.07668711656442,0
51,711,15.563994374120956,0
113,171,1.608187134502924,2
114,156,1.6025641025641026,0
56,866,21.10161662817552,0
110,499,20.462925851703407,2
60,966,19.370600414078677,0
70,1027,17.92599805258033,0
121,59,0.0847457627118644,0
86,1140,22.407894736842106,0
81,1190,20.26050420168067,0
50,1246,20.660513643659712,0
125,52,0.5192307692307693,0
109,990,22.835353535353537,1
92,1397,17.96921975662133,0
124,247,0.4574898785425101,0
84,1494,21.99330655957162,0
20,1537,21.370201691607026,0
34,1590,19.90377358490566,2
131,100,0.56,0
0,1673,20.965929468021518,0
11,1740,23.73505747126437,1
134,112,0.6160714285714286,0
17,1842,19.94245385450597,0
23,1910,24.834031413612564,1
36,1957,25.611650485436893,0
74,2015,23.925062034739454,1
82,2058,21.361516034985424,0
88,2114,22.819299905392622,0
128,772,21.988341968911918,0
101,2187,23.843621399176953,0
24,2282,24.69894829097283,1
35,2335,22.898072805139186,0
48,2394,24.85547201336675,0
90,2443,20.901350798198937,1
42,2477,20.92935002018571,0
3,2536,22.679810725552052,2
28,2584,23.42608359133127,0
13,2645,23.71531190926276,2
19,2692,24.708023774145616,0
105,2594,27.38473400154202,0
154,60,1.7666666666666666,0
33,2870,23.005574912891987,1
136,1135,21.33920704845815,0
12,2982,25.31924882629108,10
151,444,25.436936936936938,0
159,44,0.06818181818181818,0
66,3124,24.414212548015364,0
31,3188,23.97082810539523,0
99,3249,21.21975992613112,0
21,3302,25.7595396729255,0
15,3363,25.869461790068392,2
80,3409,22.183338222352596,0
37,3445,22.815384615384616,0
137,1669,25.251048532055123,0
22,3567,22.46089150546678,0
10,3618,24.11111111111111,6
39,3661,25.303742146954384,0
9,3714,24.690630048465266,0
78,3774,24.803656597774246,1
1,3820,23.35994764397906,0
162,694,17.760806916426514,0
160,858,23.715617715617714,0
44,3989,23.550012534469793,0
69,4045,25.598022249690978,0
72,4109,24.340472134339254,1
61,4148,24.024590163934427,1
65,4193,23.29644645838302,0
174,427,8.459016393442623,0
180,165,1.1939393939393939,0
97,4367,22.332951683077628,0
54,4430,23.899097065462755,3
75,4470,22.861073825503357,0
104,4411,24.49399229199728,0
58,4587,23.024198822759974,0
45,4641,22.550958845076494,0
171,1044,21.009578544061302,0
185,336,4.464285714285714,0
67,4827,24.511912160762378,8
64,4873,23.893494767083933,0
29,4926,25.000609013398293,0
189,351,15.27065527065527,0
194,124,4.17741935483871,0
16,5098,21.501176932130246,0
46,5152,23.047360248447205,0
112,4671,22.808820381074717,4
172,1538,25.046163849154745,1
196,249,1.0441767068273093,0
133,3704,23.68331533477322,0
30,5408,23.286427514792898,1
89,5456,24.806451612903224,0
52,5492,25.013109978150037,0
205,67,1.6567164179104477,0
144,3391,23.119728693600706,0
206,116,13.456896551724139,0
57,5730,22.977486910994763,0
73,5790,22.944041450777203,0
76,5845,24.64071856287425,1
85,5892,24.603190767141886,0
141,3901,24.152268649064343,1
197,916,22.87772925764192,0
214,63,0.3492063492063492,0
18,6133,24.050220120658732,0
216,65,1.2,0
32,6241,24.812209581797788,3
129,4849,25.383171787997526,0
123,5214,24.03548139624089,0
220,64,0.328125,0
219,172,1.5988372093023255,0
122,5436,25.869205298013245,1
222,114,0.14912280701754385,0
25,6625,25.314716981132076,0
98,6683,25.505611252431542,1
135,4986,24.746089049338146,0
227,62,2.435483870967742,0
186,2370,26.17130801687764,0
156,4033,24.34862385321101,0
87,6961,23.5401522769717,0
182,2776,24.313400576368878,1
223,556,17.48201438848921,0
231,176,2.5113636363636362,0
230,271,1.1439114391143912,0
235,63,2.619047619047619,0
232,259,25.104247104247104,12
176,3383,27.198344664498965,1
234,222,11.27927927927928,3
165,4037,26.970027247956402,1
187,2917,23.627356873500172,0
53,7507,25.239243372852005,1
91,7559,26.425585394893503,0
140,5609,24.40345872704582,0
215,1606,21.179950186799502,0
55,7744,23.733987603305785,3
153,5096,27.112441130298272,0
150,5316,25.26410835214447,0
107,7651,25.86093321134492,0
62,7967,25.84887661604117,1
146,5676,24.88706835799859,0
161,4941,27.577211090872293,0
117,7306,25.866274295099917,0
247,388,5.355670103092783,0
181,4033,22.324820233077112,0
83,8288,25.81479247104247,4
158,5351,23.267052887310783,1
79,8379,23.89342403628118,0
166,5031,24.00616179685947,0
173,4713,26.786972204540632,1
244,914,19.85339168490153,0
148,6164,24.420668397144713,0
203,3260,25.34723926380368,0
211,2876,22.811543810848402,0
111,8299,24.85034341486926,1
212,2936,22.922343324250683,0
266,66,5.424242424242424,0
265,169,1.0710059171597632,0
94,9011,24.105648651647986,5
126,7759,23.33483696352623,0
59,9112,26.45785776997366,0
188,4589,24.319023752451514,0
168,5723,25.432989690721648,1
195,4292,21.059878844361602,0
255,1124,19.741103202846976,0
217,3212,22.872042341220425,5
183,5137,24.258127311660502,3
248,1641,22.19317489335771,0
71,9550,23.471623036649216,0
163,6368,25.04459798994975,1
127,8308,23.70173326913818,0
236,2489,19.175170751305746,0
177,5777,25.20010386013502,0
49,9825,25.030229007633586,0
262,1273,22.793401413982718,1
102,9863,24.346040758389943,0
115,9273,26.391674754664077,2
286,100,0.89,0
252,2012,22.48906560636183,0
200,4887,24.122160834868016,1
288,160,3.15,0
279,700,19.158571428571427,0
209,4576,24.639204545454547,0
293,61,0.9344262295081968,0
145,8146,24.275718143874293,1
155,7661,25.14097376321629,0
268,1580,27.908227848101266,0
250,2607,23.642117376294593,0
175,6753,25.070042943876796,2
119,9759,25.23578235474946,3
93,10722,25.106603245663123,0
47,10777,24.73888837338777,0
143,8673,23.977747031015795,1
130,9388,23.735619940349384,0
301,206,0.912621359223301,0
225,4338,20.376440756108806,0
103,10930,26.136413540713633,9
241,3613,25.496817049543317,0
179,6996,25.812178387650086,0
106,10945,25.068889904065784,0
8,11205,24.761178045515393,0
311,61,0.8524590163934426,0
118,10450,25.101913875598086,0
256,3089,25.66785367432826,0
297,907,19.875413450937156,2
138,9563,23.892606922513856,0
290,1397,24.891195418754474,0
246,3849,22.796050922317484,0
304,771,19.795071335927368,0
307,692,20.76300578034682,0
320,61,0.7377049180327869,0
190,7123,23.714586550610697,2
193,6992,24.303775743707092,0
237,4625,25.073513513513515,0
228,5180,24.128764478764477,0
254,3853,22.9807941863483,0
229,5252,24.47067783701447,0
325,168,1.375,0
139,10244,26.45167903162827,0
327,160,1.5,1
329,88,0.8295454545454546,0
147,9960,24.341666666666665,0
213,6442,24.542533374728347,0
333,61,1.901639344262295,0
277,3068,24.967405475880053,0
334,95,0.18947368421052632,0
259,4175,27.165748502994013,1
308,1604,23.135910224438902,1
242,5199,23.30929024812464,0
201,7469,25.493372606774667,0
305,1893,20.15742208135235,0
289,2804,25.823466476462198,1
340,161,3.652173913043478,0
243,5434,26.07361059992639,0
322,1220,23.654098360655738,0
345,38,0.02631578947368421,0
341,332,6.039156626506024,0
346,128,0.953125,0
270,4218,26.805357989568517,0
218,7090,26.23709449929478,0
132,11802,25.374004406032874,0
292,3193,23.56717820231757,0
273,4259,23.114815684432966,0
274,4261,26.050692325745132,1
100,13586,25.353452083026646,0
302,2853,24.31440588853838,0
157,10745,25.125081433224757,0
208,8048,24.219060636182903,0
260,5287,25.166635142803102,0
191,9070,23.698125689084897,1
287,3899,25.085662990510386,0
43,13942,26.78059101993975,0
95,13998,23.530647235319332,0
363,58,3.103448275862069,0
253,5993,25.09761388286334,0
192,9344,25.97099743150685,0
365,117,1.3076923076923077,0
149,11800,25.15906779661017,0
367,117,1.170940170940171,0
142,12269,24.755236775613334,1
335,1918,26.152241918665275,0
233,7416,25.533845738942826,1
264,5821,25.311802095859818,0
170,10990,24.625750682438582,3
251,6637,24.20219978906132,0
357,1025,18.02341463414634,0
226,8072,25.968037661050545,4
263,6125,27.791673469387757,0
224,8285,24.462764031382015,0
199,9703,26.1777800680202,1
355,1378,20.268505079825836,0
354,1481,20.937204591492236,0
382,59,0.06779661016949153,0
258,6767,25.538643416580463,0
383,122,2.0245901639344264,0
239,7900,23.770126582278483,0
240,7922,26.52713961120929,0
178,11330,23.280935569285084,0
314,4061,24.7929081507018,1
387,166,0.8734939759036144,0
164,12247,25.76900465420103,0
374,998,26.083166332665332,1
391,91,0.8461538461538461,0
167,12259,25.720205563259647,3
394,42,0.5,0
318,4204,24.770456707897242,0
120,14895,24.492447129909365,2
321,4141,24.918135716010624,0
207,10353,24.356611610161305,0
14,16018,25.098888750156075,0
271,6958,25.863322793906296,0
282,6406,23.879487980018734,0
281,6519,23.307409111826967,0
351,2854,23.733707077785564,0
152,13659,25.890841203602022,0
306,5399,23.38599740692721,0
299,5791,23.945605249525126,4
375,1823,24.672517827756444,0
296,6035,25.334714167357085,0
315,5136,25.88921339563863,0
261,8092,25.93351458230351,7
401,600,15.74,0
276,7300,25.515342465753424,1
310,5602,25.749553730810426,0
275,7457,26.777926780206517,0
204,11407,24.972473042868415,0
368,2642,24.252460257380772,1
415,149,0.4161073825503356,0
319,5352,26.68198804185351,0
269,8041,24.74281805745554,0
298,6533,24.41374559926527,2
407,733,12.773533424283766,0
400,1199,24.192660550458715,1
278,7774,25.001800874710575,0
323,5460,23.95970695970696,0
221,10957,24.71050470019166,0
342,4548,25.744942832014072,1
362,3532,26.78850509626274,0
202,12188,24.98293403347555,0
371,3138,23.437221159974506,0
366,3464,24.15415704387991,1
198,12522,24.477719214183036,0
361,3844,22.5,0
393,2145,25.683449883449885,0
283,8071,26.037170115227358,0
411,1273,19.857816182246662,0
434,171,0.7543859649122807,0
116,17252,25.70420820774403,0
435,237,5.877637130801688,0
245,10443,23.543330460595616,0
440,59,2.23728813559322,0
406,1877,26.197655833777304,0
442,62,1.3225806451612903,0
441,174,0.7816091954022989,0
332,6065,23.922176422093983,7
280,8843,26.069772701571864,4
388,3131,21.95784094538486,0
337,5951,24.339102671819862,1
433,890,25.952808988764044,0
449,66,0.10606060606060606,0
396,2938,20.898230088495577,0
390,3286,22.32197200243457,0
300,8160,25.697549019607845,1
364,4826,24.031910484873602,0
331,6647,25.17902813299233,0
399,3030,23.81815181518152,1
420,1987,19.650226472068447,0
